hugo	pfam_coord
UFSP1	{'Peptidase_C78': [3, 128]}
ZNF646	{'zf-C2H2': [75, 97, '//', 1326, 1348, '//', 1258, 1280, '//', 1585, 1607, '//', 374, 396, '//', 617, 639, '//', 48, 70, '//', 1364, 1386, '//', 1203, 1225, '//', 239, 261, '//', 1677, 1699, '//', 1299, 1321, '//', 1052, 1074, '//', 266, 288, '//', 294, 316, '//', 1761, 1783, '//', 1230, 1252], 'zf-C2H2_4': [401, 424, '//', 848, 871, '//', 492, 515, '//', 1079, 1102, '//', 575, 598], 'zf-C2H2_6': [820, 846, '//', 7, 31], 'zf-H2C2_2': [1718, 1743]}
NABP1	{'tRNA_anti-codon': [27, 108]}
CSNK2A1	{'Pkinase': [39, 324]}
C9orf40	{'AF1Q': [131, 194]}
FBXL13	{'LRR_6': [244, 268, '//', 553, 577, '//', 323, 347, '//', 450, 474, '//', 295, 321, '//', 530, 552]}
TIPRL	{'TIP41': [48, 226]}
FBXL14	{'F-box-like': [5, 49], 'LRR_1': [91, 116], 'LRR_6': [252, 276, '//', 168, 192]}
FBXL17	{'F-box-like': [321, 368]}
HRH1	{'7tm_1': [44, 468]}
FBXL18	{'F-box-like': [33, 75]}
ACVRL1	{'TGF_beta_GS': [172, 200], 'Pkinase': [202, 490], 'Activin_recp': [32, 103]}
SDK1	{'I-set': [480, 570, '//', 386, 475, '//', 192, 278, '//', 574, 664], 'fn3': [1703, 1790, '//', 669, 755, '//', 973, 1057, '//', 769, 857, '//', 1904, 1990, '//', 1175, 1264, '//', 1278, 1365, '//', 1379, 1463, '//', 1803, 1889, '//', 1580, 1689, '//', 1478, 1565, '//', 1071, 1160, '//', 871, 960], 'Ig_3': [292, 365], 'Ig_2': [104, 187]}
SDK2	{'I-set': [402, 492, '//', 308, 397, '//', 496, 586, '//', 114, 203], 'fn3': [1625, 1712, '//', 896, 980, '//', 1098, 1187, '//', 592, 677, '//', 1725, 1811, '//', 1402, 1488, '//', 1201, 1288, '//', 692, 779, '//', 1302, 1387, '//', 1503, 1611, '//', 1825, 1912, '//', 994, 1083, '//', 793, 883], 'ig': [41, 93], 'Ig_2': [214, 297]}
TEX28P2	{'Tmemb_cc2': [43, 383]}
GRP	{'Bombesin': [41, 54]}
TEX28P1	{'Tmemb_cc2': [43, 383]}
TPRN	{'Phostensin_N': [7, 87], 'Phostensin': [466, 599]}
THSD4	{'PLAC': [974, 1006], 'TSP_1': [737, 793, '//', 681, 740, '//', 917, 967, '//', 857, 912, '//', 57, 93, '//', 620, 676], 'ADAM_spacer1': [412, 528]}
SZRD1	{'SUZ-C': [119, 152], 'SUZ': [56, 107]}
FAM212B	{'FAM212': [116, 176]}
FAM212A	{'FAM212': [148, 205]}
CHST9	{'Sulfotransfer_2': [204, 439]}
COL4A6	{'Collagen': [1133, 1192, '//', 1011, 1076, '//', 754, 815, '//', 45, 106, '//', 1310, 1372, '//', 101, 161, '//', 1077, 1136, '//', 357, 418, '//', 859, 921, '//', 1407, 1468, '//', 1375, 1434, '//', 1254, 1315, '//', 894, 961, '//', 489, 550, '//', 1193, 1252, '//', 164, 222, '//', 659, 705, '//', 967, 1027, '//', 795, 873, '//', 593, 654, '//', 551, 621, '//', 708, 755], 'C4': [1575, 1690, '//', 1467, 1574]}
COL4A5	{'Collagen': [1074, 1133, '//', 491, 550, '//', 960, 1019, '//', 1013, 1072, '//', 896, 958, '//', 165, 223, '//', 1190, 1248, '//', 283, 352, '//', 754, 818, '//', 854, 909, '//', 1400, 1460, '//', 33, 118, '//', 706, 766, '//', 598, 659, '//', 659, 706, '//', 796, 854, '//', 1128, 1189, '//', 1246, 1315, '//', 391, 449, '//', 81, 164, '//', 340, 415, '//', 552, 604], 'C4': [1571, 1684, '//', 1461, 1570]}
ARID3C	{'ARID': [110, 201]}
COL4A3	{'Collagen': [482, 546, '//', 41, 104, '//', 997, 1060, '//', 1379, 1441, '//', 97, 162, '//', 282, 344, '//', 1292, 1352, '//', 1061, 1122, '//', 950, 1009, '//', 1176, 1235, '//', 747, 809, '//', 892, 948, '//', 1119, 1178, '//', 847, 905, '//', 169, 223, '//', 351, 412, '//', 386, 444, '//', 699, 749, '//', 588, 648, '//', 413, 478, '//', 788, 849, '//', 653, 700], 'C4': [1555, 1668, '//', 1445, 1554]}
COL4A1	{'Collagen': [1057, 1117, '//', 474, 533, '//', 837, 896, '//', 736, 801, '//', 883, 941, '//', 1384, 1443, '//', 37, 105, '//', 97, 162, '//', 273, 334, '//', 943, 1005, '//', 167, 225, '//', 999, 1058, '//', 539, 593, '//', 61, 138, '//', 689, 737, '//', 643, 690, '//', 405, 467, '//', 377, 432, '//', 779, 837, '//', 1157, 1233, '//', 1088, 1174], 'C4': [1555, 1668, '//', 1445, 1554]}
SLC35D2	{'TPT': [172, 314]}
CHST1	{'Sulfotransfer_1': [60, 384]}
CHST3	{'Sulfotransfer_1': [132, 452]}
CHST2	{'Sulfotransfer_1': [164, 507]}
CHST5	{'Sulfotransfer_1': [62, 379]}
CHST4	{'Sulfotransfer_1': [42, 358]}
CHST7	{'Sulfotransfer_1': [101, 458]}
CHST6	{'Sulfotransfer_1': [40, 357]}
ITGAX	{'FG-GAP': [521, 556], 'Integrin_alpha2': [615, 1032], 'Integrin_alpha': [1129, 1143], 'VWA': [151, 329]}
MLNR	{'7tm_1': [55, 190, '//', 200, 355]}
BCL2A1	{'Bcl-2': [37, 140]}
HLCS	{'BPL_C': [669, 718], 'BPL_LplA_LipB': [471, 603]}
NOG	{'Noggin': [7, 232]}
ITGAV	{'FG-GAP': [252, 286, '//', 306, 347], 'Integrin_alpha2': [467, 914], 'Integrin_alpha': [1017, 1031]}
PREP	{'Peptidase_S9': [482, 707], 'Peptidase_S9_N': [7, 423]}
ZNF703	{'nlz1': [311, 365]}
ITGAL	{'FG-GAP': [521, 554], 'Integrin_alpha2': [612, 1016], 'Integrin_alpha': [1113, 1127], 'VWA': [156, 331]}
ITGAM	{'FG-GAP': [520, 555], 'Integrin_alpha2': [614, 1032], 'Integrin_alpha': [1129, 1143], 'VWA': [150, 328]}
HLF	{'bZIP_2': [224, 277]}
NOV	{'IGFBP': [35, 89], 'Cys_knot': [261, 353], 'TSP_1': [208, 249], 'VWC': [110, 173]}
FAM134A	{'Reticulon': [70, 234]}
SMAD9	{'MH2': [267, 445], 'MH1': [34, 135]}
TRERF1	{'ELM2': [781, 837], 'zf-C2H2_4': [1086, 1109, '//', 1013, 1038], 'zf-C2H2_6': [511, 534]}
LRPAP1	{'Alpha-2-MRAP_N': [14, 134], 'Alpha-2-MRAP_C': [144, 357]}
SMAD6	{'MH2': [325, 495], 'MH1': [172, 270]}
SMAD7	{'MH2': [255, 426], 'MH1': [92, 202]}
RIC3	{'RIC3': [15, 166]}
AFTPH	{'Clathrin_bdg': [697, 769]}
AMMECR1L	{'AMMECR1': [108, 282]}
CYFIP1	{'FragX_IP': [385, 1224]}
TMPRSS11B	{'Trypsin': [185, 410], 'SEA': [42, 146]}
PTPLB	{'PTPLA': [85, 248]}
TMPRSS11D	{'Trypsin': [187, 412], 'SEA': [45, 154]}
TMPRSS11E	{'Trypsin': [192, 417], 'SEA': [48, 158]}
TMPRSS11F	{'Trypsin': [206, 432], 'SEA': [56, 166]}
HRH2	{'7tm_1': [35, 288]}
FBP2	{'FBPase': [12, 335]}
ABHD14B	{'Abhydrolase_5': [34, 189]}
RAD21L1	{'Rad21_Rec8_N': [1, 111], 'Rad21_Rec8': [500, 553]}
HAUS6	{'HAUS6_N': [13, 241]}
SLC36A3	{'Aa_trans': [40, 452]}
SLC36A2	{'Aa_trans': [52, 463]}
EXOG	{'Endonuclease_NS': [76, 287]}
RNF112	{'zf-C3HC4': [57, 97], 'GBP': [148, 400]}
ARTN	{'TGF_beta': [120, 219]}
ART1	{'ART': [39, 274]}
ART5	{'ART': [28, 254]}
ART4	{'ART': [55, 277]}
RNF111	{'zf-RING_2': [940, 983], 'RNF111_N': [18, 292]}
TCEA2	{'TFIIS_C': [259, 297], 'TFIIS_M': [134, 248], 'Med26': [29, 81]}
TCEA3	{'TFIIS_C': [308, 346], 'TFIIS_M': [183, 297], 'Med26': [28, 80]}
TCEA1	{'TFIIS_C': [261, 299], 'TFIIS_M': [136, 250], 'Med26': [26, 78]}
COX4I2	{'COX4': [33, 170]}
OR4B1	{'7tm_4': [137, 278]}
DUOXA2	{'DuoxA': [9, 289]}
TMEM212	{'CD20': [7, 174]}
CRTAM	{'C2-set_2': [121, 207], 'V-set': [16, 114]}
ABCD2	{'ABC_tran': [494, 637], 'ABC_membrane_2': [78, 365]}
PIPOX	{'DAO': [9, 364]}
USP17L30	{'HABP4_PAI-RBP1': [374, 458], 'UCH': [79, 372]}
CCDC111	{'Herpes_UL52': [402, 465], 'DNA_primase_S': [113, 303]}
LEO1	{'Leo1': [373, 537]}
ATP1A4	{'Cation_ATPase_C': [805, 1014], 'Cation_ATPase_N': [51, 119], 'Hydrolase': [378, 735], 'E1-E2_ATPase': [143, 374]}
ATP1A2	{'Cation_ATPase_C': [796, 1005], 'Cation_ATPase_N': [41, 109], 'Hydrolase': [368, 726], 'E1-E2_ATPase': [133, 364]}
TMEM213	{'TMEM213': [26, 107]}
MGRN1	{'zf-C3HC4_3': [274, 323]}
TCP1	{'Cpn60_TCP1': [28, 535]}
SPHK1	{'DAGK_cat': [16, 153]}
DPT	{'DERM': [40, 196]}
CUEDC2	{'CUE': [147, 186]}
IPO13	{'Xpo1': [116, 263], 'IBN_N': [45, 111]}
AIM1	{'Ricin_B_lectin': [1588, 1716], 'Crystall': [1219, 1312, '//', 1320, 1403, '//', 1503, 1583, '//', 1416, 1495, '//', 1124, 1205, '//', 1023, 1116]}
CPEB4	{'RRM_1': [474, 539]}
CPEB3	{'RRM_1': [443, 508]}
CPEB2	{'RRM_1': [334, 399]}
PEPD	{'AMP_N': [18, 155], 'Peptidase_M24': [193, 459]}
RBMXL3	{'RRM_1': [10, 80]}
ABAT	{'Aminotran_3': [76, 446]}
TCOF1	{'Treacle': [534, 905, '//', 452, 537, '//', 316, 405, '//', 387, 454, '//', 249, 324, '//', 902, 960]}
ZNF780B	{'zf-C2H2': [249, 271, '//', 277, 299, '//', 669, 691, '//', 417, 439], 'KRAB': [6, 46], 'zf-H2C2_2': [375, 400, '//', 515, 539, '//', 711, 735, '//', 599, 623, '//', 487, 512, '//', 347, 371, '//', 543, 568, '//', 571, 595, '//', 207, 231, '//', 739, 764, '//', 319, 343, '//', 179, 202, '//', 627, 652, '//', 772, 791, '//', 459, 483]}
TLN2	{'Talin_middle': [494, 655], 'IRS': [313, 404], 'VBS': [1850, 1974], 'I_LWEQ': [2383, 2533], 'FERM_N': [92, 201], 'FERM_M': [203, 316]}
BBOX1	{'DUF971': [7, 67], 'TauD': [109, 366]}
SLC38A7	{'Aa_trans': [49, 456]}
FRG1	{'FRG1': [67, 256]}
FRG2	{'FRG2': [60, 241]}
RHEBL1	{'Ras': [8, 169]}
C2CD5	{'C2': [5, 90]}
IFT80	{'WD40': [219, 256, '//', 96, 134, '//', 180, 216]}
IFT88	{'TPR_2': [629, 662], 'TPR_8': [281, 314], 'TPR_1': [244, 274, '//', 493, 526, '//', 527, 559, '//', 561, 594], 'TPR_6': [664, 696, '//', 315, 343]}
POU5F1B	{'Pou': [138, 212], 'Homeobox': [231, 286]}
SP1	{'zf-C2H2': [686, 708, '//', 626, 650], 'zf-H2C2_2': [672, 695]}
CNTF	{'CNTF': [1, 199]}
MCM10	{'zf-primase': [382, 427], 'Mcm10': [523, 873]}
NUP93	{'Nic96': [202, 804]}
BPIFC	{'LBP_BPI_CETP': [38, 217], 'LBP_BPI_CETP_C': [242, 478]}
IGFBPL1	{'IGFBP': [38, 91], 'Kazal_1': [91, 151], 'I-set': [155, 260]}
ATG4B	{'Peptidase_C54': [36, 337]}
ATG4A	{'Peptidase_C54': [39, 338]}
THUMPD2	{'UPF0020': [272, 432], 'THUMP': [119, 263]}
CREB5	{'bZIP_1': [372, 436]}
PHOX2B	{'Homeobox': [99, 155]}
GPKOW	{'G-patch_2': [139, 213], 'KOW': [243, 274]}
LRGUK	{'Guanylate_kin': [414, 599], 'LRR_4': [260, 300]}
UPK2	{'Uroplakin_II': [1, 184]}
FAM171B	{'UPF0560': [83, 427, '//', 415, 826]}
CFH	{'Sushi': [870, 926, '//', 1109, 1163, '//', 146, 205, '//', 85, 141, '//', 811, 864, '//', 630, 684, '//', 1048, 1102, '//', 931, 984, '//', 691, 744, '//', 989, 1043, '//', 448, 505, '//', 325, 389, '//', 21, 80, '//', 569, 623, '//', 385, 442, '//', 509, 564, '//', 210, 262, '//', 267, 320, '//', 1167, 1228]}
GPT2	{'Aminotran_1_2': [110, 511]}
PNP	{'PNP_UDP_1': [26, 280]}
CFD	{'Trypsin': [26, 248]}
CFB	{'Trypsin': [481, 752], 'Sushi': [103, 158, '//', 165, 218, '//', 35, 88], 'VWA': [270, 468]}
OR5P3	{'7tm_4': [139, 283]}
OR5P2	{'7tm_4': [135, 279]}
TLN1	{'Talin_middle': [491, 652], 'IRS': [310, 401], 'VBS': [1849, 1973, '//', 1234, 1358], 'I_LWEQ': [2382, 2533], 'FERM_N': [90, 199], 'FERM_M': [201, 313]}
ATP6V0E1	{'ATP_synt_H': [8, 72]}
CFP	{'TSP_1': [140, 190, '//', 261, 312, '//', 81, 133, '//', 319, 376, '//', 197, 254, '//', 383, 417]}
AAAS	{'WD40': [236, 273]}
SIDT1	{'SID-1_RNA_chan': [184, 827]}
MLLT1	{'YEATS': [29, 112]}
CREB3	{'bZIP_1': [172, 241]}
COX20	{'DUF3767': [6, 103]}
TUBA4A	{'Tubulin': [3, 226], 'Tubulin_C': [263, 393]}
NUP188	{'Nup188': [27, 944]}
VPS33B	{'Sec1': [36, 612]}
SIX4	{'Homeobox': [227, 280]}
SIX5	{'Homeobox': [206, 258]}
SIX6	{'Homeobox': [129, 185]}
SAGE1	{'INT_SG_DDX_CT_C': [821, 885]}
TGIF2LY	{'Homeobox_KN': [68, 107]}
SIX2	{'Homeobox': [127, 181]}
SIX3	{'Homeobox': [207, 263]}
CNPY4	{'DUF3456': [35, 197]}
CNPY3	{'DUF3456': [46, 207]}
CNPY1	{'DUF3456': [1, 84]}
KNDC1	{'RasGEF_N': [1249, 1348], 'RasGEF': [1465, 1677]}
HMG20A	{'HMG_box': [103, 171]}
GLT8D2	{'Glyco_transf_8': [52, 325]}
AAGAB	{'Adaptin_binding': [155, 294]}
FBXO6	{'F-box-like': [13, 60], 'FBA': [75, 259]}
PHOSPHO1	{'Put_Phosphatase': [27, 264]}
C4orf17	{'SPATIAL': [27, 223]}
CDH26	{'Cadherin': [170, 266, '//', 401, 490, '//', 280, 388]}
ADCY7	{'DUF1053': [485, 593], 'Guanylate_cyc': [870, 1069, '//', 270, 452]}
ZFP82	{'KRAB': [6, 46], 'zf-H2C2_2': [352, 377, '//', 240, 264, '//', 324, 348, '//', 268, 293, '//', 492, 517, '//', 436, 460, '//', 464, 488, '//', 184, 209, '//', 212, 237, '//', 380, 405, '//', 408, 432, '//', 160, 180]}
CHFR	{'zf-RING_2': [302, 343], 'FHA': [38, 106]}
EFHA1	{'EF-hand_8': [347, 394]}
EFHA2	{'EF-hand_8': [449, 502, '//', 226, 263]}
SYPL1	{'MARVEL': [28, 231]}
SYPL2	{'MARVEL': [30, 232]}
SLCO1C1	{'Kazal_2': [482, 523], 'OATP': [42, 639]}
RCOR2	{'Myb_DNA-binding': [329, 374], 'ELM2': [46, 100]}
RFX4	{'RFX_DNA_binding': [53, 138]}
OSCAR	{'Ig_2': [32, 123, '//', 129, 215]}
RFX6	{'RFX_DNA_binding': [117, 201]}
NRXN3	{'Laminin_G_2': [475, 619, '//', 899, 1027, '//', 287, 413, '//', 1122, 1241, '//', 55, 184, '//', 713, 843], 'Syndecan': [1557, 1638]}
RFX1	{'RFX1_trans_act': [215, 378], 'RFX_DNA_binding': [430, 515]}
NRXN1	{'Laminin_G_2': [121, 240], 'Syndecan': [355, 440]}
RFX3	{'RFX1_trans_act': [1, 140], 'RFX_DNA_binding': [175, 260]}
YDJC	{'YdjC': [6, 289]}
VPS37D	{'Mod_r': [19, 168]}
PDZK1	{'PDZ': [242, 320, '//', 137, 212, '//', 378, 455, '//', 9, 87]}
UQCRC2	{'Peptidase_M16': [48, 194], 'Peptidase_M16_C': [199, 378]}
XPNPEP3	{'AMP_N': [67, 215], 'Peptidase_M24': [253, 482]}
SLC4A2	{'Band_3_cyto': [352, 620], 'HCO3_cotransp': [674, 1169]}
GGCX	{'VKG_Carbox': [65, 504]}
PAPLN	{'PLAC': [1234, 1268], 'Kunitz_BPTI': [753, 805], 'I-set': [1046, 1129, '//', 1133, 1219, '//', 913, 994], 'TSP_1': [30, 79, '//', 426, 480, '//', 367, 424, '//', 488, 538, '//', 308, 360], 'ADAM_spacer1': [183, 298]}
RETSAT	{'NAD_binding_8': [72, 135]}
ZNF57	{'zf-C2H2': [140, 163], 'zf-C2H2_4': [196, 219], 'KRAB': [4, 44], 'zf-H2C2_2': [294, 318, '//', 406, 430, '//', 350, 374, '//', 322, 347, '//', 462, 486, '//', 266, 291, '//', 238, 263, '//', 378, 403, '//', 434, 459, '//', 491, 514]}
STXBP6	{'Sec3-PIP2_bind': [41, 133], 'Synaptobrevin': [153, 210]}
KHDRBS1	{'KH_1': [157, 219]}
KHDRBS2	{'KH_1': [61, 124]}
BAK1	{'Bcl-2': [78, 177]}
ZNHIT6	{'zf-HIT': [216, 246]}
LHCGR	{'7tm_1': [376, 623], 'LRR_5': [49, 153, '//', 142, 268]}
ARPP21	{'R3H': [163, 224], 'SUZ': [245, 300]}
OR1Q1	{'7tm_4': [139, 283]}
FLT3	{'Pkinase_Tyr': [610, 943], 'ig': [265, 332]}
HIGD2A	{'HIG_1_N': [43, 96]}
PEX11G	{'PEX11': [4, 230]}
CTSG	{'Trypsin': [21, 238]}
DPYSL2	{'Amidohydro_1': [64, 413]}
DPYSL3	{'Amidohydro_1': [64, 413]}
WASH4P	{'WASH_WAHD': [59, 317]}
KRTAP10-12	{'Keratin_B2_2': [84, 130, '//', 119, 172, '//', 173, 218, '//', 56, 118, '//', 209, 245]}
KRTAP10-11	{'Keratin_B2_2': [168, 212, '//', 121, 165, '//', 215, 260]}
MRGPRE	{'7tm_1': [40, 203]}
IGFBP2	{'IGFBP': [42, 111], 'Thyroglobulin_1': [227, 306]}
LRFN1	{'LRR_8': [162, 222], 'I-set': [299, 387], 'fn3': [423, 504], 'LRR_6': [88, 111]}
IGFBP1	{'IGFBP': [30, 84], 'Thyroglobulin_1': [176, 251]}
BOP1	{'BOP1NT': [144, 402], 'WD40': [404, 441, '//', 653, 690, '//', 706, 746]}
B4GALT2	{'Glyco_transf_7N': [97, 233], 'Glyco_transf_7C': [235, 313]}
IGFBP4	{'IGFBP': [27, 80], 'Thyroglobulin_1': [174, 249]}
IGFBP5	{'IGFBP': [27, 80], 'Thyroglobulin_1': [192, 263]}
SKP2	{'F-box-like': [97, 143]}
GJA3	{'Connexin': [3, 110], 'Connexin_CCC': [159, 225]}
APLNR	{'7tm_1': [45, 309]}
GJA5	{'Connexin': [3, 109], 'Connexin_CCC': [163, 229]}
RUNX3	{'RunxI': [313, 415], 'Runt': [52, 186]}
GJA8	{'Connexin': [3, 110], 'Connexin_CCC': [161, 227], 'Connexin50': [260, 326]}
GJA9	{'Connexin': [3, 111], 'Connexin_CCC': [167, 233]}
BCDIN3D	{'Bin3': [157, 250]}
KDM3B	{'JmjC': [1594, 1704]}
