Ensembl Gene ID	id2	Ensembl Transcript ID	CDS Length
ENSG00000197776	KLHDC1	ENST00000359332	1221
ENSG00000197775	C14orf167	ENST00000354854	198
ENSG00000175550	DRAP1	ENST00000376991	639
ENSG00000175556	LONRF3	ENST00000371628	2280
ENSG00000197771	MCMBP	ENST00000360003	1929
ENSG00000161682	FAM171A2	ENST00000293443	2481
ENSG00000168297	PXK	ENST00000356151	1737
ENSG00000100288	CHKB	ENST00000406938	1188
ENSG00000183864	TOB2	ENST00000327492	1035
ENSG00000183862	CNGA2	ENST00000329903	1995
ENSG00000167680	SEMA6B	ENST00000586582	2667
ENSG00000124217	MOCS3	ENST00000244051	1383
ENSG00000124214	STAU1	ENST00000371856	1734
ENSG00000124215	CDH26	ENST00000244047	2559
ENSG00000124212	PTGIS	ENST00000244043	1503
ENSG00000247596	TWF2	ENST00000305533	1050
ENSG00000175707	C1orf172	ENST00000320567	1197
ENSG00000161970	RPL26	ENST00000293842	438
ENSG00000161973	CCDC42	ENST00000293845	951
ENSG00000255275	unknown	ENST00000494072	889
ENSG00000160087	UBE2J2	ENST00000400930	828
ENSG00000036054	TBC1D23	ENST00000394144	2100
ENSG00000002587	HS3ST1	ENST00000002596	924
ENSG00000002586	CD99	ENST00000449611	604
ENSG00000177954	RPS27	ENST00000368567	255
ENSG00000177951	BET1L	ENST00000410108	459
ENSG00000198242	RPL23A	ENST00000394938	585
ENSG00000198246	SLC29A3	ENST00000373189	1428
ENSG00000135917	SLC19A3	ENST00000425817	1491
ENSG00000135916	ITM2C	ENST00000326427	804
ENSG00000135914	HTR2B	ENST00000258400	1446
ENSG00000135913	USP37	ENST00000258399	2940
ENSG00000135912	TTLL4	ENST00000392102	3600
ENSG00000092148	HECTD1	ENST00000553700	7833
ENSG00000034693	PEX3	ENST00000367591	1122
ENSG00000135919	SERPINE2	ENST00000447280	1230
ENSG00000176396	EID2	ENST00000390658	711
ENSG00000176390	CRLF3	ENST00000324238	1329
ENSG00000176393	RNPEP	ENST00000295640	1953
ENSG00000176399	DMRTA1	ENST00000325870	1515
ENSG00000083635	NUFIP1	ENST00000379161	1488
ENSG00000063515	GSC2	ENST00000086933	618
ENSG00000247626	MARS2	ENST00000282276	1782
ENSG00000167536	DHRS13	ENST00000378895	1134
ENSG00000167535	CACNB3	ENST00000301050	1455
ENSG00000188886	ASTL	ENST00000342380	1296
ENSG00000188883	KLRG2	ENST00000340940	1230
ENSG00000188888	GPR179	ENST00000342292	7104
ENSG00000094796	KRT31	ENST00000251645	1251
ENSG00000237289	CKMT1B	ENST00000441322	1254
ENSG00000237284	MAS1L	ENST00000451019	1137
ENSG00000101327	PDYN	ENST00000217305	765
ENSG00000049192	ADAMTS6	ENST00000381055	3354
ENSG00000101323	HAO1	ENST00000378789	1113
ENSG00000237136	C4orf51	ENST00000438731	609
ENSG00000129562	DAD1	ENST00000250498	342
ENSG00000177047	IFNW1	ENST00000380229	588
ENSG00000129566	TEP1	ENST00000262715	7884
ENSG00000177045	SIX5	ENST00000317578	2220
ENSG00000169991	IFFO2	ENST00000455833	1554
ENSG00000141232	TOB1	ENST00000499247	1038
ENSG00000172673	THEMIS	ENST00000543064	2043
ENSG00000172671	ANUBL1	ENST00000344646	2184
ENSG00000236428	KIAA1949	ENST00000435006	231
ENSG00000223766	PRR3	ENST00000549475	762
ENSG00000223767	RNF5	ENST00000548239	549
ENSG00000236424	TSPY10	ENST00000428845	927
ENSG00000136750	GAD2	ENST00000376261	1758
ENSG00000136754	ABI1	ENST00000355394	1530
ENSG00000136758	YME1L1	ENST00000326799	2322
ENSG00000249087	C1orf213	ENST00000335648	381
ENSG00000116014	KISS1R	ENST00000234371	1197
ENSG00000116017	ARID3A	ENST00000263620	1782
ENSG00000116016	EPAS1	ENST00000263734	2613
ENSG00000187244	BCAM	ENST00000270233	1887
ENSG00000174099	MSRB3	ENST00000355192	579
ENSG00000224234	OR10C1	ENST00000437403	939
ENSG00000137409	MTCH1	ENST00000460219	1185
ENSG00000224236	MRRFP1	ENST00000435941	789
ENSG00000174093	unknown	ENST00000312412	1437
ENSG00000137404	NRM	ENST00000259953	789
ENSG00000137403	HLA-F	ENST00000383516	1329
ENSG00000235194	PPP1R3E	ENST00000452015	840
ENSG00000264654	unknown	ENST00000582010	1014
ENSG00000060138	CSDA	ENST00000228251	1119
ENSG00000044012	GUCA2B	ENST00000372581	339
ENSG00000175946	KLHL38	ENST00000325995	1746
ENSG00000231852	CYP21A2	ENST00000418967	1488
ENSG00000231850	GAGE2B	ENST00000381725	351
ENSG00000130751	NPAS1	ENST00000602212	1773
ENSG00000130755	GMFG	ENST00000597595	429
ENSG00000009694	ODZ1	ENST00000422452	8199
ENSG00000110756	HPS5	ENST00000349215	3390
ENSG00000134278	SPIRE1	ENST00000409402	2271
ENSG00000064726	BTBD1	ENST00000261721	1449
ENSG00000072506	HSD17B10	ENST00000168216	786
ENSG00000181135	ZNF707	ENST00000358656	1116
ENSG00000134183	GNAT2	ENST00000351050	1065
ENSG00000069712	KIAA1107	ENST00000409154	4230
ENSG00000134186	PRPF38B	ENST00000370025	1641
ENSG00000134184	GSTM1	ENST00000369823	714
ENSG00000262716	unknown	ENST00000572168	939
ENSG00000262717	unknown	ENST00000571651	915
ENSG00000037042	TUBG2	ENST00000251412	1356
ENSG00000260623	unknown	ENST00000566027	4524
ENSG00000078487	ZCWPW1	ENST00000398027	1947
ENSG00000042753	AP2S1	ENST00000601498	477
ENSG00000105855	ITGB8	ENST00000222573	2310
ENSG00000105854	PON2	ENST00000536183	1128
ENSG00000111481	COPZ1	ENST00000552218	597
ENSG00000105856	HBP1	ENST00000468410	1545
ENSG00000105851	PIK3CG	ENST00000440650	3309
ENSG00000079689	SCGN	ENST00000377961	831
ENSG00000105852	PON3	ENST00000265627	1065
ENSG00000142252	GEMIN7	ENST00000591607	396
ENSG00000012174	MBTPS2	ENST00000379484	1560
ENSG00000135587	SMPD2	ENST00000258052	1272
ENSG00000071082	RPL31	ENST00000409038	393
ENSG00000139780	METTL21C	ENST00000267273	795
ENSG00000180660	MAB21L1	ENST00000379919	1080
ENSG00000135638	EMX1	ENST00000258106	873
ENSG00000180667	YOD1	ENST00000315927	1047
ENSG00000188419	CHM	ENST00000357749	1962
ENSG00000135632	SMYD5	ENST00000389501	1257
ENSG00000135631	RAB11FIP5	ENST00000258098	1962
ENSG00000135636	DYSF	ENST00000410020	6360
ENSG00000135637	CCDC142	ENST00000393965	2253
ENSG00000147155	EBP	ENST00000495186	693
ENSG00000114503	NCBP2	ENST00000321256	471
ENSG00000263440	unknown	ENST00000582002	1341
ENSG00000115677	HDLBP	ENST00000391975	3807
ENSG00000261972	unknown	ENST00000573178	1815
ENSG00000261975	unknown	ENST00000576188	996
ENSG00000261974	unknown	ENST00000570729	690
ENSG00000112531	QKI	ENST00000361752	1026
ENSG00000263192	unknown	ENST00000573263	999
ENSG00000263194	unknown	ENST00000575946	627
ENSG00000029364	SLC39A9	ENST00000336643	924
ENSG00000105143	SLC1A6	ENST00000221742	1695
ENSG00000105141	CASP14	ENST00000427043	729
ENSG00000105146	AURKC	ENST00000302804	930
ENSG00000267631	unknown	ENST00000301407	468
ENSG00000142920	ADC	ENST00000373441	1443
ENSG00000267635	unknown	ENST00000574248	525
ENSG00000235941	HSPA1A	ENST00000430065	1926
ENSG00000235942	LCE6A	ENST00000431011	243
ENSG00000146205	ANO7	ENST00000274979	2802
ENSG00000164418	GRIK2	ENST00000421544	2727
ENSG00000164411	GJB7	ENST00000525899	672
ENSG00000164414	SLC35A1	ENST00000369552	1014
ENSG00000100532	CGRRF1	ENST00000216420	999
ENSG00000077454	LRCH4	ENST00000310300	2052
ENSG00000077458	FAM76B	ENST00000358780	1020
ENSG00000212658	KRTAP29-1	ENST00000391353	1026
ENSG00000212659	KRTAP9-6	ENST00000391355	483
ENSG00000169154	GOT1L1	ENST00000307599	1266
ENSG00000152056	AP1S3	ENST00000443700	495
ENSG00000212657	KRTAP16-1	ENST00000391352	1554
ENSG00000260362	unknown	ENST00000561538	300
ENSG00000021300	PLEKHB1	ENST00000354190	732
ENSG00000100399	CHADL	ENST00000216241	2289
ENSG00000100393	EP300	ENST00000263253	7245
ENSG00000100395	L3MBTL2	ENST00000216237	2118
ENSG00000259164	unknown	ENST00000557752	174
ENSG00000264162	unknown	ENST00000583017	3504
ENSG00000196550	FAM72A	ENST00000367129	450
ENSG00000196557	CACNA1H	ENST00000348261	7062
ENSG00000197208	SLC22A4	ENST00000200652	1656
ENSG00000239463	HLA-DMA	ENST00000416806	871
ENSG00000151292	CSNK1G3	ENST00000360683	1368
ENSG00000113141	IK	ENST00000417647	1674
ENSG00000026652	AGPAT4	ENST00000320285	1137
ENSG00000185158	LRRC37B	ENST00000327564	2925
ENSG00000185155	MIXL1	ENST00000542034	723
ENSG00000185156	MFSD6L	ENST00000329805	1761
ENSG00000106635	BCL7B	ENST00000223368	609
ENSG00000106636	YKT6	ENST00000223369	597
ENSG00000106631	MYL7	ENST00000457314	594
ENSG00000106633	GCK	ENST00000345378	1401
ENSG00000261109	unknown	ENST00000568193	14055
ENSG00000106638	TBL2	ENST00000305632	1344
ENSG00000123584	MAGEA9B	ENST00000243314	948
ENSG00000152670	DDX4	ENST00000505374	2175
ENSG00000152672	CLEC4F	ENST00000272367	1770
ENSG00000143643	TTC13	ENST00000366661	2583
ENSG00000124588	NQO2	ENST00000338130	696
ENSG00000143641	GALNT2	ENST00000366672	1716
ENSG00000124587	PEX6	ENST00000304611	2943
ENSG00000167332	OR51E2	ENST00000396950	963
ENSG00000167333	TRIM68	ENST00000300747	1458
ENSG00000009830	POMT2	ENST00000261534	2253
ENSG00000178927	C17orf62	ENST00000336995	672
ENSG00000178921	PFAS	ENST00000314666	4017
ENSG00000178922	HYI	ENST00000372434	909
ENSG00000178928	TPRX1	ENST00000535759	1527
ENSG00000168310	IRF2	ENST00000393593	1050
ENSG00000262459	unknown	ENST00000575262	798
ENSG00000168314	MOBP	ENST00000311042	621
ENSG00000262457	unknown	ENST00000576140	3198
ENSG00000262452	unknown	ENST00000573221	675
ENSG00000268414	unknown	ENST00000596432	585
ENSG00000268417	unknown	ENST00000597734	2298
ENSG00000114268	PFKFB4	ENST00000232375	1410
ENSG00000268410	unknown	ENST00000601617	762
ENSG00000268413	unknown	ENST00000597382	57
ENSG00000268412	unknown	ENST00000599234	408
ENSG00000040487	PQLC2	ENST00000375155	876
ENSG00000204709	C6orf100	ENST00000377186	189
ENSG00000204703	OR2B3	ENST00000377173	942
ENSG00000204702	OR2J1	ENST00000377171	939
ENSG00000204701	OR2J3	ENST00000377169	936
ENSG00000204700	OR2J2	ENST00000377167	939
ENSG00000110680	CALCA	ENST00000469608	426
ENSG00000204704	OR2W1	ENST00000377175	963
ENSG00000153107	ANAPC1	ENST00000341068	5835
ENSG00000198721	ECI2	ENST00000380118	1185
ENSG00000167004	PDIA3	ENST00000300289	1518
ENSG00000183246	RIMBP3C	ENST00000433039	4920
ENSG00000158023	WDR66	ENST00000288912	3450
ENSG00000198723	C19orf45	ENST00000361664	1518
ENSG00000167800	TBX10	ENST00000335385	1158
ENSG00000183248	unknown	ENST00000539422	4041
ENSG00000127774	TMEM93	ENST00000248378	333
ENSG00000239927	RPP21	ENST00000430900	534
ENSG00000233927	RPS28	ENST00000600659	210
ENSG00000173838	MARCH10	ENST00000583600	2541
ENSG00000122728	TAF1L	ENST00000242310	5481
ENSG00000122729	ACO1	ENST00000309951	2670
ENSG00000245317	unknown	ENST00000499601	471
ENSG00000165406	MARCH8	ENST00000453424	1369
ENSG00000165409	TSHR	ENST00000541158	2295
ENSG00000241258	CRCP	ENST00000395326	447
ENSG00000100147	CCDC134	ENST00000255784	690
ENSG00000240849	TMEM189	ENST00000557021	1113
ENSG00000158683	PKD1L1	ENST00000289672	8550
ENSG00000008056	SYN1	ENST00000295987	2118
ENSG00000130518	KIAA1683	ENST00000392413	4104
ENSG00000159374	C2orf65	ENST00000290536	1593
ENSG00000159377	PSMB4	ENST00000290541	795
ENSG00000130511	SSBP4	ENST00000270061	1158
ENSG00000130513	GDF15	ENST00000595973	927
ENSG00000130517	PGPEP1	ENST00000269919	630
ENSG00000164758	MED30	ENST00000297347	537
ENSG00000164756	SLC30A8	ENST00000456015	1110
ENSG00000164754	RAD21	ENST00000297338	1896
ENSG00000164751	PEX2	ENST00000357039	918
ENSG00000058085	LAMC2	ENST00000264144	3582
ENSG00000159082	SYNJ1	ENST00000433931	4839
ENSG00000155506	LARP1	ENST00000336314	3060
ENSG00000159086	GCFC1	ENST00000331923	2754
ENSG00000011478	QPCTL	ENST00000012049	1149
ENSG00000010704	HFE	ENST00000357618	1047
ENSG00000196616	ADH1B	ENST00000305046	1128
ENSG00000125046	C3orf32	ENST00000544814	1128
ENSG00000196611	MMP1	ENST00000315274	1410
ENSG00000196610	HLA-DQB2	ENST00000323109	840
ENSG00000081913	PHLPP1	ENST00000262719	5154
ENSG00000120498	TEX11	ENST00000395889	2823
ENSG00000005471	ABCB4	ENST00000265723	3861
ENSG00000256713	PGA5	ENST00000312403	1167
ENSG00000256715	BAGE4	ENST00000540061	144
ENSG00000037280	FLT4	ENST00000261937	4092
ENSG00000243003	LY6G6F	ENST00000554860	1149
ENSG00000160124	CCDC58	ENST00000291458	435
ENSG00000243009	RPP21	ENST00000452262	534
ENSG00000203910	C1orf146	ENST00000370375	543
ENSG00000175294	CATSPER1	ENST00000312106	2343
ENSG00000231389	HLA-DPA1	ENST00000419277	783
ENSG00000176928	GCNT4	ENST00000322348	1362
ENSG00000176922	OR51S1	ENST00000322101	972
ENSG00000176920	FUT2	ENST00000425340	1032
ENSG00000176927	EFCAB5	ENST00000394835	4512
ENSG00000176925	OR51F2	ENST00000322110	1029
ENSG00000198169	ZNF251	ENST00000292562	2016
ENSG00000198168	SVIP	ENST00000354193	234
ENSG00000198162	MAN1A2	ENST00000356554	1926
ENSG00000198161	PPIAL4C	ENST00000369222	495
ENSG00000198160	MIER1	ENST00000401041	1698
ENSG00000171049	FPR2	ENST00000340023	1056
ENSG00000175746	C15orf54	ENST00000318578	552
ENSG00000171044	XKR6	ENST00000416569	1926
ENSG00000175745	NR2F1	ENST00000327111	1272
ENSG00000179674	ARL14	ENST00000320767	579
ENSG00000179673	RPRML	ENST00000322329	363
ENSG00000147316	MCPH1	ENST00000344683	2508
ENSG00000145220	LYAR	ENST00000343470	1140
ENSG00000167476	JSRP1	ENST00000586471	996
ENSG00000248789	unknown	ENST00000510583	252
ENSG00000167470	MIDN	ENST00000591446	1407
ENSG00000253873	PCDHGA11	ENST00000398587	2808
ENSG00000069998	CECR5	ENST00000336737	1272
ENSG00000084754	HADHA	ENST00000380649	2292
ENSG00000240065	PSMB9	ENST00000374859	660
ENSG00000095637	SORBS1	ENST00000361941	3879
ENSG00000034713	GABARAPL2	ENST00000037243	354
ENSG00000176219	OR11H6	ENST00000315519	993
ENSG00000230522	MBD3L2	ENST00000381393	627
ENSG00000146047	HIST1H2BA	ENST00000274764	384
ENSG00000146049	KAAG1	ENST00000274766	255
ENSG00000148225	WDR31	ENST00000374193	1104
ENSG00000133136	GNG5P2	ENST00000372054	207
ENSG00000133135	RNF128	ENST00000255499	1287
ENSG00000133134	BEX2	ENST00000536889	483
ENSG00000133131	MORC4	ENST00000355610	2814
ENSG00000148229	POLE3	ENST00000374169	444
ENSG00000138308	PLA2G12B	ENST00000373032	588
ENSG00000004799	PDK4	ENST00000005178	1236
ENSG00000144579	CTDSP1	ENST00000428361	788
ENSG00000067840	PDZD4	ENST00000164640	2310
ENSG00000146592	CREB5	ENST00000357727	1527
ENSG00000172828	CES3	ENST00000303334	1716
ENSG00000141068	KSR1	ENST00000319524	2772
ENSG00000137309	HMGA1	ENST00000395004	987
ENSG00000144681	STAC	ENST00000273183	1209
ENSG00000172824	CES4A	ENST00000326686	1686
ENSG00000066468	FGFR2	ENST00000457416	2469
ENSG00000268996	unknown	ENST00000596585	315
ENSG00000268991	unknown	ENST00000600179	510
ENSG00000173193	PARP14	ENST00000474629	5406
ENSG00000132881	RSG1	ENST00000375599	777
ENSG00000116604	MEF2D	ENST00000348159	1566
ENSG00000070808	CAMK2A	ENST00000398376	1470
ENSG00000269852	unknown	ENST00000597456	372
ENSG00000080189	SLC35C2	ENST00000543605	1185
ENSG00000147883	CDKN2B	ENST00000276925	417
ENSG00000147885	IFNA16	ENST00000380216	570
ENSG00000147889	CDKN2A	ENST00000361570	522
ENSG00000101935	AMMECR1	ENST00000262844	1002
ENSG00000101938	CHRDL1	ENST00000372042	1377
ENSG00000130656	HBZ	ENST00000252951	429
ENSG00000130653	PNPLA7	ENST00000406427	4029
ENSG00000223590	MUC21	ENST00000457728	1791
ENSG00000113389	NPR3	ENST00000265074	1626
ENSG00000269159	unknown	ENST00000598505	2121
ENSG00000067334	DNTTIP2	ENST00000436063	2271
ENSG00000113387	SUB1	ENST00000506237	384
ENSG00000113384	GOLPH3	ENST00000265070	897
ENSG00000099985	OSM	ENST00000215781	759
ENSG00000099984	GSTT2	ENST00000215780	735
ENSG00000076258	FMO4	ENST00000367749	1677
ENSG00000234631	unknown	ENST00000451472	372
ENSG00000180592	C10orf140	ENST00000449193	2727
ENSG00000061656	SPAG4	ENST00000374273	1314
ENSG00000180596	HIST1H2BC	ENST00000396984	381
ENSG00000073578	SDHA	ENST00000264932	1995
ENSG00000169203	unknown	ENST00000354563	2265
ENSG00000089009	RPL6	ENST00000202773	867
ENSG00000223551	TMSL4	ENST00000323496	135
ENSG00000169208	OR10G3	ENST00000303532	942
ENSG00000089006	SNX5	ENST00000377759	1215
ENSG00000269113	unknown	ENST00000594280	312
ENSG00000264199	unknown	ENST00000579142	270
ENSG00000269117	unknown	ENST00000601172	297
ENSG00000269115	unknown	ENST00000595779	570
ENSG00000269114	unknown	ENST00000596509	945
ENSG00000117266	CDK18	ENST00000506784	1515
ENSG00000117262	GPR89A	ENST00000313835	1368
ENSG00000107831	FGF8	ENST00000320185	735
ENSG00000107833	NPM3	ENST00000370110	537
ENSG00000156509	FBXO43	ENST00000428847	2127
ENSG00000156508	EEF1A1	ENST00000316292	1389
ENSG00000156502	SUPV3L1	ENST00000359655	2361
ENSG00000264440	unknown	ENST00000581018	243
ENSG00000156500	FAM122C	ENST00000370784	588
ENSG00000156504	FAM122B	ENST00000343004	801
ENSG00000103642	LACTB	ENST00000261893	1644
ENSG00000103647	CORO2B	ENST00000566799	1443
ENSG00000064687	ABCA7	ENST00000263094	6441
ENSG00000022556	NLRP2	ENST00000543010	3189
ENSG00000181074	OR52N4	ENST00000317254	966
ENSG00000076928	ARHGEF1	ENST00000599846	2907
ENSG00000181072	CHRM2	ENST00000445907	1401
ENSG00000076924	XAB2	ENST00000358368	2568
ENSG00000143337	TOR1AIP1	ENST00000271583	1800
ENSG00000143333	RGS16	ENST00000367558	609
ENSG00000065371	ROPN1	ENST00000184183	639
ENSG00000168152	THAP9	ENST00000302236	2712
ENSG00000189241	TSPYL1	ENST00000368608	1314
ENSG00000168159	RNF187	ENST00000305943	381
ENSG00000111837	MAK	ENST00000313243	1872
ENSG00000111834	RSPH4A	ENST00000229554	2151
ENSG00000111832	RWDD1	ENST00000466444	732
ENSG00000262690	unknown	ENST00000573287	3198
ENSG00000171903	CYP4F11	ENST00000402119	1575
ENSG00000188596	C12orf63	ENST00000524981	9291
ENSG00000188599	PKD1P6	ENST00000358815	1383
ENSG00000269809	unknown	ENST00000583271	2523
ENSG00000269808	unknown	ENST00000598855	816
ENSG00000069509	FUNDC1	ENST00000378045	468
ENSG00000269801	unknown	ENST00000601441	1362
ENSG00000269805	unknown	ENST00000600138	441
ENSG00000269804	unknown	ENST00000596102	147
ENSG00000183354	KIAA2026	ENST00000399933	6312
ENSG00000263256	unknown	ENST00000572793	189
ENSG00000263254	unknown	ENST00000576173	1776
ENSG00000263255	unknown	ENST00000571001	1392
ENSG00000263258	unknown	ENST00000573777	996
ENSG00000119760	SUPT7L	ENST00000337768	1245
ENSG00000019995	ZRANB1	ENST00000359653	2127
ENSG00000197779	ZNF81	ENST00000376954	1986
ENSG00000019991	HGF	ENST00000222390	2187
ENSG00000147059	SPIN2A	ENST00000374908	777
ENSG00000135778	NTPCR	ENST00000366627	687
ENSG00000135776	ABCB10	ENST00000344517	2217
ENSG00000135775	COG2	ENST00000366669	2217
ENSG00000139428	MMAB	ENST00000545712	753
ENSG00000135773	CAPN9	ENST00000271971	2073
ENSG00000147050	KDM6A	ENST00000382899	4227
ENSG00000152990	GPR125	ENST00000334304	3966
ENSG00000197774	EME2	ENST00000307394	1335
ENSG00000132749	MTL5	ENST00000255087	1527
ENSG00000165646	SLC18A2	ENST00000298472	1545
ENSG00000132746	ALDH3B2	ENST00000530069	1158
ENSG00000165644	COMTD1	ENST00000372538	789
ENSG00000132744	ACY3	ENST00000255082	960
ENSG00000165643	SOHLH1	ENST00000425225	1164
ENSG00000132740	IGHMBP2	ENST00000255078	2982
ENSG00000153029	MR1	ENST00000367580	1026
ENSG00000187026	KRTAP21-2	ENST00000333892	252
ENSG00000187024	PTRH1	ENST00000419060	645
ENSG00000142039	CCDC97	ENST00000269967	1032
ENSG00000187021	PNLIPRP1	ENST00000358834	1404
ENSG00000162148	C11orf66	ENST00000338608	1278
ENSG00000188629	ZNF177	ENST00000589262	1446
ENSG00000180035	ZNF48	ENST00000320159	1857
ENSG00000188624	IGFL3	ENST00000341415	378
ENSG00000188626	unknown	ENST00000563027	1899
ENSG00000162144	CYBASC3	ENST00000447532	792
ENSG00000188620	HMX3	ENST00000357878	1074
ENSG00000161681	SHANK1	ENST00000391814	6510
ENSG00000185774	KCNIP4	ENST00000382152	753
ENSG00000185775	FAM75A6	ENST00000332857	4032
ENSG00000090054	SPTLC1	ENST00000262554	1422
ENSG00000101096	NFATC2	ENST00000396009	2778
ENSG00000101098	RIMS4	ENST00000541604	813
ENSG00000213401	MAGEA12	ENST00000357916	945
ENSG00000257600	unknown	ENST00000547537	246
ENSG00000257601	unknown	ENST00000535433	459
ENSG00000112715	VEGFA	ENST00000372055	1239
ENSG00000070495	JMJD6	ENST00000445478	1245
ENSG00000258405	unknown	ENST00000421239	1773
ENSG00000090581	GNPTG	ENST00000204679	918
ENSG00000138468	SENP7	ENST00000394095	3153
ENSG00000164597	COG5	ENST00000297135	2583
ENSG00000164591	MYOZ3	ENST00000517768	756
ENSG00000148143	ZNF462	ENST00000457913	7701
ENSG00000104112	SCG3	ENST00000220478	1407
ENSG00000011677	GABRA3	ENST00000370314	1479
ENSG00000125285	SOX21	ENST00000376945	831
ENSG00000184825	HIST1H2AH	ENST00000377459	387
ENSG00000181852	RNF41	ENST00000345093	954
ENSG00000181856	SLC2A4	ENST00000317370	1530
ENSG00000168930	TRIM49	ENST00000329758	1359
ENSG00000168936	TMEM129	ENST00000382936	1089
ENSG00000197502	unknown	ENST00000358799	60
ENSG00000168938	PPIC	ENST00000306442	639
ENSG00000197506	SLC28A3	ENST00000376238	2076
ENSG00000186086	NBPF6	ENST00000370040	2004
ENSG00000126883	NUP214	ENST00000451030	6276
ENSG00000126882	FAM78A	ENST00000372271	852
ENSG00000186088	PION	ENST00000257626	2565
ENSG00000204928	GRXCR2	ENST00000377976	747
ENSG00000204923	FBXO48	ENST00000377957	468
ENSG00000204922	C11orf83	ENST00000531323	282
ENSG00000204920	ZNF155	ENST00000407951	1650
ENSG00000008441	NFIX	ENST00000592199	1509
ENSG00000182508	LHFPL1	ENST00000371968	663
ENSG00000182504	CEP97	ENST00000327230	2676
ENSG00000182500	ORAI1	ENST00000330079	912
ENSG00000125843	C20orf29	ENST00000379567	603
ENSG00000124216	SNAI1	ENST00000244050	795
ENSG00000104808	DHDH	ENST00000221403	1005
ENSG00000104805	NUCB1	ENST00000405315	1386
